codigo_recurso,tipo_generacion,combustible,estado
3K6T,SOLAR,RAD SOLAR,OPERACION
3K6V,SOLAR,RAD SOLAR,OPERACION
3K6X,SOLAR,RAD SOLAR,OPERACION
3K7L,SOLAR,RAD SOLAR,OPERACION
3K7N,SOLAR,RAD SOLAR,OPERACION
3K7P,SOLAR,RAD SOLAR,OPERACION
3K7R,SOLAR,RAD SOLAR,OPERACION
3K7T,SOLAR,RAD SOLAR,OPERACION
3K88,SOLAR,RAD SOLAR,OPERACION
3K8A,SOLAR,RAD SOLAR,OPERACION
3K8C,SOLAR,RAD SOLAR,PRUEBAS
3K8E,SOLAR,RAD SOLAR,PRUEBAS
3K91,SOLAR,RAD SOLAR,OPERACION
3K93,SOLAR,RAD SOLAR,OPERACION
3KA2,SOLAR,RAD SOLAR,OPERACION
3KA6,SOLAR,RAD SOLAR,OPERACION
3KA8,SOLAR,RAD SOLAR,OPERACION
3KE2,SOLAR,RAD SOLAR,OPERACION
3KE4,SOLAR,RAD SOLAR,OPERACION
3KE6,SOLAR,RAD SOLAR,OPERACION
3KJK,SOLAR,RAD SOLAR,PRUEBAS
3KK1,SOLAR,RAD SOLAR,OPERACION
3KK3,SOLAR,RAD SOLAR,OPERACION
3KK5,SOLAR,RAD SOLAR,OPERACION
3KK7,SOLAR,RAD SOLAR,OPERACION
3KK9,SOLAR,RAD SOLAR,OPERACION
3KKB,SOLAR,RAD SOLAR,OPERACION
3KKD,SOLAR,RAD SOLAR,OPERACION
3KL4,TERMICA,GAS,OPERACION
3KL6,SOLAR,RAD SOLAR,OPERACION
3KL8,SOLAR,RAD SOLAR,OPERACION
3KLA,SOLAR,RAD SOLAR,OPERACION
3KLC,SOLAR,RAD SOLAR,OPERACION
3KLE,SOLAR,RAD SOLAR,OPERACION
3KLG,SOLAR,RAD SOLAR,OPERACION
3KLI,SOLAR,RAD SOLAR,OPERACION
3KLK,SOLAR,RAD SOLAR,OPERACION
3KLM,SOLAR,RAD SOLAR,OPERACION
3KLO,SOLAR,RAD SOLAR,OPERACION
3KLQ,TERMICA,GAS,PRUEBAS
3KLS,SOLAR,RAD SOLAR,OPERACION
3KLU,SOLAR,RAD SOLAR,OPERACION
3KO9,SOLAR,RAD SOLAR,OPERACION
3KOD,SOLAR,RAD SOLAR,OPERACION
3KOJ,SOLAR,RAD SOLAR,OPERACION
3KOL,SOLAR,RAD SOLAR,PRUEBAS
3KOP,SOLAR,RAD SOLAR,OPERACION
3KOR,SOLAR,RAD SOLAR,OPERACION
3KOT,SOLAR,RAD SOLAR,OPERACION
3KOV,SOLAR,RAD SOLAR,OPERACION
3KR2,SOLAR,RAD SOLAR,OPERACION
3KR4,SOLAR,RAD SOLAR,OPERACION
3KR6,SOLAR,RAD SOLAR,OPERACION
3KR8,SOLAR,RAD SOLAR,OPERACION
ABJ1,HIDRAULICA,AGUA,OPERACION
AFR1,HIDRAULICA,AGUA,OPERACION
ALBG,HIDRAULICA,AGUA,OPERACION
ALTG,HIDRAULICA,AGUA,OPERACION
AMA1,HIDRAULICA,AGUA,OPERACION
AMF1,HIDRAULICA,AGUA,OPERACION
AMR1,HIDRAULICA,AGUA,OPERACION
APHA,EOLICA,VIENTO,PRUEBAS
APLU,EOLICA,VIENTO,PRUEBAS
ARG1,TERMICA,GAS,OPERACION
ASN1,HIDRAULICA,AGUA,OPERACION
AYR1,HIDRAULICA,AGUA,OPERACION
BAR1,HIDRAULICA,AGUA,OPERACION
BETA,EOLICA,VIENTO,PRUEBAS
BLL3,HIDRAULICA,AGUA,OPERACION
BLM1,HIDRAULICA,AGUA,OPERACION
BSQ1,HIDRAULICA,AGUA,OPERACION
BYN1,HIDRAULICA,AGUA,OPERACION
CAS1,COGENERADOR,BAGAZO,OPERACION
CCN1,HIDRAULICA,AGUA,OPERACION
CELE,EOLICA,VIENTO,PRUEBAS
CGM1,COGENERADOR,BAGAZO,OPERACION
CHBG,HIDRAULICA,AGUA,OPERACION
CHVR,HIDRAULICA,AGUA,OPERACION
CIP1,COGENERADOR,BAGAZO,OPERACION
CIS1,COGENERADOR,BAGAZO,OPERACION
CLDR,HIDRAULICA,AGUA,OPERACION
CLL1,HIDRAULICA,AGUA,OPERACION
CLMG,HIDRAULICA,AGUA,OPERACION
CMN1,HIDRAULICA,AGUA,OPERACION
CMP2,HIDRAULICA,AGUA,OPERACION
COE1,HIDRAULICA,AGUA,OPERACION
CPT1,HIDRAULICA,AGUA,OPERACION
CQT1,HIDRAULICA,AGUA,OPERACION
CRC1,HIDRAULICA,AGUA,OPERACION
CSC1,HIDRAULICA,AGUA,OPERACION
CTG1,TERMICA,COMBUSTOLEO,OPERACION
CTG2,TERMICA,COMBUSTOLEO,OPERACION
CTG3,TERMICA,COMBUSTOLEO,OPERACION
CUC1,HIDRAULICA,AGUA,OPERACION
CUR1,HIDRAULICA,AGUA,OPERACION
DVS1,HIDRAULICA,AGUA,OPERACION
EPFV,SOLAR,RAD SOLAR,OPERACION
EPSG,SOLAR,RAD SOLAR,PRUEBAS
ESMR,HIDRAULICA,AGUA,OPERACION
FLRD,HIDRAULICA,AGUA,OPERACION
GCA1,HIDRAULICA,AGUA,OPERACION
GCC1,HIDRAULICA,AGUA,OPERACION
GE32,TERMICA,CARBON,OPERACION
GEC3,TERMICA,CARBON,OPERACION
GQA1,HIDRAULICA,AGUA,OPERACION
GTPE,HIDRAULICA,AGUA,OPERACION
GTRG,HIDRAULICA,AGUA,OPERACION
GVIO,HIDRAULICA,AGUA,OPERACION
GYPO,SOLAR,RAD SOLAR,PRUEBAS
HMIN,HIDRAULICA,AGUA,OPERACION
HMLG,HIDRAULICA,AGUA,OPERACION
HMO1,HIDRAULICA,AGUA,OPERACION
HRD1,HIDRAULICA,AGUA,OPERACION
INC1,COGENERADOR,BAGAZO,OPERACION
INS1,HIDRAULICA,AGUA,OPERACION
INT1,HIDRAULICA,AGUA,OPERACION
INZ1,HIDRAULICA,AGUA,OPERACION
IQU1,HIDRAULICA,AGUA,OPERACION
IQU2,HIDRAULICA,AGUA,OPERACION
IRG1,COGENERADOR,BAGAZO,OPERACION
JAGS,HIDRAULICA,AGUA,OPERACION
JPR1,EOLICA,VIENTO,OPERACION
LBR1,HIDRAULICA,AGUA,OPERACION
LCS1,HIDRAULICA,AGUA,OPERACION
LMR1,HIDRAULICA,AGUA,OPERACION
LPLO,HIDRAULICA,AGUA,OPERACION
LTSJ,HIDRAULICA,AGUA,OPERACION
MATA,SOLAR,RAD SOLAR,PRUEBAS
MIR1,HIDRAULICA,AGUA,OPERACION
MNC1,HIDRAULICA,AGUA,OPERACION
MND1,HIDRAULICA,AGUA,OPERACION
MNT1,HIDRAULICA,AGUA,OPERACION
MOY1,HIDRAULICA,AGUA,OPERACION
