fecha,disp_real_hidraulica,disp_real,disp_real_termica,disponibilidad_real
2012-06-21,417567.4509469697,156000.0,143476.66666666666,260643.95075757575
2012-06-22,431785.725,156000.0,143586.66666666666,266752.79078014183
2012-06-23,440492.9166666667,156000.0,143477.84848484848,270400.0967117988
2012-06-24,448675.5875,156000.0,142615.0,273423.12234042556
2012-06-25,442202.08125,156000.0,142377.04484848483,270541.86694068345
2012-06-26,442590.9175595238,156000.0,141445.275,270211.7069402229
2012-06-27,423851.896969697,156000.0,140393.055,261677.96413604126
2012-06-28,422135.85227272724,156000.0,142060.44333333333,261834.64103804
2012-06-29,436319.75625,156000.0,145569.44444444444,272436.12590579706
2012-06-30,443866.9375,156000.0,148500.0,277246.4945652174
2012-07-01,440853.75,156000.0,146324.15674603175,274801.1904761905
2012-07-02,435866.25,156000.0,141438.9326666667,267346.77269503544
2012-07-03,432040.625,156000.0,138147.41025641025,261346.77430555553
2012-07-04,428229.1583333333,156000.0,139722.7564102564,260611.97569444447
2012-07-05,438317.19329573936,156000.0,140716.8333333333,261673.70934650456
2012-07-06,442786.951754386,156000.0,146892.57211538462,266896.9991134752
2012-07-07,444611.84210526315,156000.0,155081.11,274709.8423913043
2012-07-08,444096.19736842107,156000.0,147417.0,270331.58152173914
2012-07-09,438593.7456140351,156000.0,152240.0,270680.02536231885
2012-07-10,431283.625,156000.0,148963.93636363637,265880.15834980237
2012-07-11,434513.2302631579,156000.0,151309.8023529412,268489.0529092072
2012-07-12,436367.5416666667,156000.0,152536.45833333334,272530.18425925926
2012-07-13,427016.6666666667,156000.0,152536.45833333334,272026.268115942
2012-07-14,424271.25,156000.0,149122.06276923078,266499.5014729951
2012-07-15,421168.8520833333,156000.0,146571.8594871795,263822.8410392799
2012-07-16,425220.8333333333,156000.0,144994.4526627219,262214.00908119656
2012-07-17,423640.3770833333,156000.0,153837.74038461538,271237.2458890747
2012-07-18,420006.6666666667,156000.0,150351.57804195804,265338.7826464316
2012-07-19,414320.83125,156000.0,154387.5,265066.045212766
2012-07-20,424772.2208333333,156000.0,160494.79166666666,275202.59601449274
2012-07-21,427478.2979166667,156000.0,155827.0,271430.6586879433
2012-07-22,427437.5,156000.0,154109.0,270499.4680851064
2012-07-23,423170.6208333333,156000.0,146664.1975308642,259905.01530612246
2012-07-24,410294.4416666667,156000.0,151692.12962962964,257419.92517006805
2012-07-25,408039.0625,156000.0,156863.78205128206,261484.15798611112
2012-07-26,404502.775,156000.0,156633.0128205128,259885.70486111112
2012-07-27,408510.96875,156000.0,156663.91941391942,261572.52666170636
2012-07-28,423617.85714285716,156000.0,157341.34615384616,268234.0029761905
2012-07-29,424820.8333333333,156000.0,151851.92307692306,265761.80555555556
2012-07-30,416422.4979166667,156000.0,148500.07561728393,258162.2857142857
2012-07-31,406075.5208333333,156000.0,153391.975308642,256634.56632653062
2012-08-01,415376.4605263158,156000.0,147425.92592592593,253846.93229166666
2012-08-02,401753.0590909091,156000.0,151673.07692307694,256053.35795454544
2012-08-03,414993.2368421053,156000.0,139161.11,253823.89673913043
2012-08-04,427274.8903508772,156000.0,148065.21739130435,268993.70265151514
2012-08-05,427493.92712550604,156000.0,160644.09722222222,273107.62108262104
2012-08-06,426768.5959851552,156000.0,153478.33333333334,266468.73167502787
2012-08-07,426338.8157894737,156000.0,153726.65333333335,266426.1702898551
2012-08-08,410631.87992424244,156000.0,147744.30333333334,259962.66344294004
2012-08-09,401361.9273809524,149649.25,152501.66666666666,258278.27051671734
2012-08-10,395562.6929824562,156000.0,152501.66666666666,253048.53985507248
2012-08-11,406877.8935185185,156000.0,152923.33333333334,254641.89814814815
2012-08-12,408400.6082621083,156000.0,148088.0,252564.68774928772
2012-08-13,407747.75925925927,156000.0,147564.88804774082,252012.93039689303
2012-08-14,403943.00925925927,156000.0,152684.7032136106,258016.7986181328
2012-08-15,405990.7407407408,156000.0,154333.75770308124,257360.07995925646
2012-08-16,424866.42156862747,156000.0,155640.625,262095.4457364341
2012-08-17,409950.32425213675,156000.0,156661.45833333334,260249.56446678322
2012-08-18,413050.92592592596,156000.0,155780.51900584795,261037.48006379587
2012-08-19,417240.13157894736,156000.0,144088.33333333334,257429.8007246377
2012-08-20,421121.3048245614,156000.0,144741.66666666666,259387.96648550726
2012-08-21,425001.1688596491,156000.0,144866.73913043478,261058.4931868305
2012-08-22,427838.9804625199,156000.0,137306.884057971,253088.05204902284
2012-08-23,422601.92384370015,156000.0,144296.47435897437,257300.95502901354
2012-08-24,441584.8854039479,156000.0,144296.47435897437,261135.57110009558
2012-08-25,449368.88497151,156000.0,144178.0128205128,264114.5274526198
2012-08-26,477552.17535650625,156000.0,131996.06937734835,260745.23596193505
2012-08-27,470269.5245098039,156000.0,139546.66666666666,268073.831439394
2012-08-28,462039.5171568627,156000.0,139659.00619235836,264957.8851471733
2012-08-29,459488.39705882355,156000.0,138939.66666666666,263563.50946969696
2012-08-30,448137.56722689077,156000.0,132954.8725757576,255777.51039207008
2012-08-31,461726.0196078432,156000.0,139626.92307692306,262036.4962962963
2012-09-01,465563.8633844842,156000.0,132589.2628205128,259420.14468599032
2012-09-02,475295.5465686274,151238.64285714284,145200.0,275983.7576135105
2012-09-03,447651.962962963,152512.45,148938.82789855072,274147.75058139535
2012-09-04,449480.5925925926,156000.0,148753.46439823566,274976.2871587462
2012-09-05,434145.36342592596,148963.07142857142,146065.67028985507,269597.38166099775
2012-09-06,435158.94907407404,154000.0,149693.41238471674,272138.32305194804
2012-09-07,449405.6689814815,156000.0,159095.07575757575,283366.5168650794
2012-09-08,429299.9583333333,156000.0,155224.63768115942,273610.5880681818
2012-09-09,431911.21710526315,156000.0,155577.02173913043,274922.3778409091
2012-09-10,425669.5175438596,156000.0,166212.27651515152,280381.18410852714
2012-09-11,417868.0153508772,156000.0,169245.86776859502,278486.0786645525
2012-09-12,419594.47149122803,156000.0,163755.29882677709,273878.79162157286
2012-09-13,424223.5350877193,156000.0,157483.1253443526,275276.18428470753
2012-09-14,422838.5197368421,156000.0,159790.9779614325,275844.9625616632
2012-09-15,425322.36842105264,156000.0,160705.16123188406,274757.81155303033
2012-09-16,426080.07456140354,156000.0,162481.0606060606,278653.5988372093
2012-09-17,428775.1096491228,156000.0,157722.2215909091,277409.6734496124
2012-09-18,419151.36562998407,156000.0,151949.9604978355,270204.0715795832
2012-09-19,411264.1798245614,156000.0,143293.64005772112,259585.753136233
2012-09-20,413585.1513157895,156000.0,150695.0109848485,267102.5143410853
2012-09-21,422251.28289473685,156000.0,149209.16534914362,267422.3904097796
2012-09-22,427167.0903110048,156000.0,158548.1820677127,277121.73770694813
2012-09-23,427227.8197368421,156000.0,154338.42574620427,269632.2398424201
2012-09-24,422455.43125996814,156000.0,153742.75362318842,269880.3756198347
2012-09-25,430575.1074561404,156000.0,153441.86429512518,273229.3163739669
2012-09-26,431574.5252805928,156000.0,141734.31633333332,262071.1714927086
2012-09-27,424616.26096491225,156000.0,132629.91552197802,251661.42046605874
2012-09-28,414770.5400717704,156000.0,131768.60333333333,249714.24662384714
2012-09-29,426224.70614035084,156000.0,137743.40064102563,255140.37943262412
2012-09-30,440810.7083333333,156000.0,137505.6856060606,260905.3464700193
2012-10-01,436422.58583959896,156000.0,127441.42628205128,253563.96200607903
2012-10-02,426815.5324561403,156000.0,130389.02243589744,251310.84468085103
2012-10-03,420118.48903508775,156000.0,112831.66666666666,241631.36865942032
2012-10-04,423009.88684210525,156000.0,130059.02777777777,254902.32259259262
2012-10-05,421647.6253987241,156000.0,132266.32842105263,252825.28463265375
2012-10-06,429007.7343738902,156000.0,135015.77666666667,257359.59499501262
2012-10-07,435411.77944862156,156000.0,130381.75,257486.25129399585
2012-10-08,435165.2558479532,156000.0,136513.2795138889,263476.85709876544
2012-10-09,449739.41813973064,156000.0,135876.59583333333,265189.7233298898
2012-10-10,437459.7800925926,156000.0,145967.803030303,271370.65972222225
2012-10-11,430186.34027777775,156000.0,136526.04166666666,257544.98011363635
2012-10-12,442982.7441077441,156000.0,140431.44026465027,267804.9423261942
2012-10-13,437284.49074074073,156000.0,140067.803030303,268205.0595238095
2012-10-14,446565.5856481481,156000.0,151238.0833333333,284373.55520833336
2012-10-15,446999.0238095238,156000.0,155252.92105263157,289943.2802197802
2012-10-16,431438.44736842107,156000.0,141421.79356060608,270246.7432170543
2012-10-17,423598.4649122807,156000.0,135833.7629399586,261012.44047619047
2012-10-18,423219.9248120301,156000.0,136583.33333333334,255820.9109730849
2012-10-19,432248.8191632928,156000.0,135665.13066666666,259051.2137123746
2012-10-20,439396.4237516869,156000.0,141335.67708333334,267835.2955840456
2012-10-21,439273.0811403509,156000.0,132587.0641025641,257562.81294326243
2012-10-22,429183.62813283206,156000.0,128584.87301587302,253937.19043305726
2012-10-23,424612.14625506074,156000.0,130545.75636363636,253114.66712906657
2012-10-24,413425.88525947736,156000.0,130004.44333333334,248200.06311442182
2012-10-25,411956.5141700405,156000.0,130265.0,247734.75585284282
2012-10-26,426328.50877192983,156000.0,130993.0,254066.66666666666
2012-10-27,413614.12277768,156000.0,133278.25101981353,247572.40126151216
2012-10-28,445963.08152958157,156000.0,138625.0,259643.16233766233
2012-10-29,421761.58114035084,156000.0,132738.1666666667,250567.2845744681
2012-10-30,419409.2083333334,156000.0,121816.43772893773,243574.51785714287
2012-10-31,412279.56359649124,156000.0,122064.79647435898,240829.71099290779
2012-11-01,419488.40350877197,156000.0,121849.69753344482,243624.93196885602
2012-11-02,428979.5657894737,156000.0,124267.04166666667,248799.03900709221
2012-11-03,439572.8744939271,155000.0,131153.33333333334,261904.8433048433
2012-11-04,443758.1995614035,155000.0,124847.7564102564,257227.11865942032
2012-11-05,438895.66387559805,155000.0,131184.78260869565,258800.47742309677
2012-11-06,429265.4270050125,,130045.20697167756,253636.16742022894
2012-11-07,428132.7648448043,,145373.51778656128,273288.41526529024
2012-11-08,411465.87403386086,155000.0,132616.95629169542,245819.3495004071
2012-11-09,433891.44736842107,155000.0,132490.3549382716,254812.27836879433
2012-11-10,427781.79824561405,155000.0,142525.0,263243.98148148146
2012-11-11,425996.05263157893,155000.0,144539.30333333334,263609.05740740744
2012-11-12,422825.0701754386,155000.0,149087.22,264796.8185185185
2012-11-13,424258.6033834587,155000.0,157062.35573122528,275077.8522349743
2012-11-14,419510.4588394062,155000.0,160687.385583524,277638.60001872014
2012-11-15,426441.1828609986,146075.72727272726,156953.2136462023,278605.4500440036
2012-11-16,423978.9309294872,155000.0,149189.90642722117,274226.05605490523
2012-11-17,422293.7479166667,155000.0,151919.5010488177,274886.89732854866
2012-11-18,415959.9521998834,155000.0,159603.4421936759,278731.971447873
2012-11-19,418168.3291666667,155000.0,155628.56826849733,274950.5375797448
2012-11-20,414166.7695652174,155000.0,156456.27756773788,273564.3130764163
2012-11-21,405479.05833333335,155000.0,157170.93236714977,269988.922979798
2012-11-22,410092.8458333333,155000.0,157304.34782608695,272155.8390151515
2012-11-23,424895.6782738095,135938.66666666666,157028.53260869565,275143.269973545
2012-11-24,440891.07675438595,119366.5,149708.51782407408,271303.73080246913
2012-11-25,421621.8041666666,133758.16666666666,156077.67925247902,273105.3119883041
2012-11-26,423389.3027777778,156000.0,158271.99936061382,276000.9342411038
2012-11-27,423873.2243777056,156000.0,156499.80839326576,275310.22401331615
2012-11-28,425465.5729166667,156000.0,143900.38767676766,264230.2372394154
2012-11-29,422802.2520833333,156000.0,147174.21987734488,267396.22432006395
2012-11-30,421775.9375,156000.0,145015.13310185185,265823.520531401
2012-12-01,409678.52840909094,157000.0,144387.15277777778,260279.61380105402
2012-12-02,411547.46458333335,157000.0,145327.65151515152,266867.21875
2012-12-03,420136.4862179487,157000.0,140682.40754385965,260293.40240330776
2012-12-04,426998.40773809527,157000.0,141128.33333333334,263450.56357649446
2012-12-05,428767.3916666667,157000.0,135071.44266666667,260981.57234042554
2012-12-06,428686.9883928572,157000.0,135178.81944444444,263739.8137939959
2012-12-07,418280.41458333336,157000.0,138058.3333333333,263443.3324074074
2012-12-08,425206.4895833333,157000.0,138159.42028985507,266573.25462962966
2012-12-09,431125.8886904762,157000.0,141013.25757575757,273609.305465368
2012-12-10,435004.7541666667,157000.0,137403.4045138889,267647.321557971
2012-12-11,434162.5,157000.0,133644.75072463768,262518.4844279988
2012-12-12,433877.4875,157000.0,129583.30666666666,260236.859929078
2012-12-13,432317.2453525641,155691.6590909091,131733.11538461538,257974.7755256896
2012-12-14,423732.5979166667,157000.0,130611.37820512822,253844.74565972222
2012-12-15,432262.5,157000.0,129128.38827838827,256595.58531746033
2012-12-16,424609.15265151515,157000.0,127307.43927125506,252420.3432100611
2012-12-17,430838.4227564102,157000.0,132706.73076923078,257940.48864850425
2012-12-18,420818.2304487179,154770.8333333333,143339.8148148148,257062.88317634747
2012-12-19,424145.6803571428,154770.8333333333,146706.73076923078,262642.2973710318
2012-12-20,419325.32529761904,157000.0,146472.7564102564,260599.96192956346
2012-12-21,428597.99841137126,157000.0,149256.11,268454.52591973246
2012-12-22,424653.81875,157000.0,136862.65432098764,255150.3681972789
2012-12-23,428041.6758928572,157000.0,137026.23456790124,256623.3030855199
2012-12-24,427425.9615384615,157000.0,138404.63690476192,254756.98128205127
2012-12-25,427766.5456730769,157000.0,141794.78600823044,259138.57419762775
2012-12-26,429542.3330128205,157000.0,145985.57692307694,264593.1595886752
2012-12-27,421179.2435897436,157000.0,146300.48076923078,261279.11191239316
2012-12-28,427734.9,157000.0,141938.0341880342,259204.59026687595
2012-12-29,427108.8541666667,157000.0,142097.22222222222,259036.77721088438
2012-12-30,427762.5,157000.0,143230.4131054131,259927.98273155416
2012-12-31,433005.5520833333,157000.0,145350.97402597402,260878.7662878788
2013-01-01,433494.9270833333,157000.0,141064.1607142857,258673.90083333332
2013-01-02,432590.625,157000.0,145559.09586056645,263181.7977190876
2013-01-03,432608.33125,157000.0,149100.96153846153,267558.1588541667
