fecha,compras_contrato
2012-01-14,168281030.52999997
2012-01-15,155489267.8
2012-01-16,173593322.29999998
2012-01-17,175611579.21999997
2012-01-18,174228318.71000004
2012-01-19,174771342.36
2012-01-20,173680726.91
2012-01-21,167535956.23
2012-01-22,154538197.6
2012-01-23,173474872.52
2012-01-24,173007077.42999998
2012-01-25,174606093.89000002
2012-01-26,174232827.49
2012-01-27,174664394.59
2012-01-28,168771532.92999998
2012-01-29,154975659.8
2012-01-30,173080304.61
2012-01-31,174428418.38
2012-02-01,173931812.10999998
2012-02-02,175526092.83
2012-02-03,175786705.60999998
2012-02-04,168931286.59000003
2012-02-05,153818755.75
2012-02-06,175167518.91999996
2012-02-07,176577435.82999998
2012-02-08,177196954.06999996
2012-02-09,177447302.38
2012-02-10,177154325.99
2012-02-11,168618828.27999997
2012-02-12,155038424.61999997
2012-02-13,175702051.91000003
2012-02-14,176597477.6
2012-02-15,176127495.32
2012-02-16,176534398.32999998
2012-02-17,176052254.92000005
2012-02-18,168851972.30999997
2012-02-19,154973791.37
2012-02-20,173998089.71999994
2012-02-21,176025503.97
2012-02-22,177631621.43
2012-02-23,177372059.34
2012-02-24,178244111.84000003
2012-02-25,172514109.39
2012-02-26,158790788.82
2012-02-27,182542967.19
2012-02-28,183093168.74999997
2012-02-29,181630365.76000002
2012-03-01,179642200.9
2012-03-02,178741921.63000003
2012-03-03,169355902.66
2012-03-04,157850968.99999997
2012-03-05,183333015.83999997
2012-03-06,183851187.75
2012-03-07,182919476.29
2012-03-08,181811579.19
2012-03-09,181547489.86
2012-03-10,174134697.82
2012-03-11,160928861.71
2012-03-12,181257314.19999996
2012-03-13,179999516.26999998
2012-03-14,179790844.31
2012-03-15,182457967.48000005
2012-03-16,183348706.28
2012-03-17,174728611.42000002
2012-03-18,159518537.85
2012-03-19,163658310.57999998
2012-03-20,179744553.25
2012-03-21,180260186.53
2012-03-22,178831850.28000003
2012-03-23,178343287.67999998
2012-03-24,170821849.63
2012-03-25,158218479.15000004
2012-03-26,178317000.78000003
2012-03-27,179259303.64999998
2012-03-28,178926976.25999996
2012-03-29,179307668.65999997
2012-03-30,178099647.58999997
2012-03-31,172803653.37
2012-04-01,161250073.74
2012-04-02,178548713.43
2012-04-03,177595445.29999998
2012-04-04,177525835.57999998
2012-04-05,155141254.0
2012-04-06,151509077.51000002
2012-04-07,163481276.03
2012-04-08,158694457.1
2012-04-09,178412591.45000002
2012-04-10,181330586.08999997
2012-04-11,182132451.14
2012-04-12,179498055.06000003
2012-04-13,179748459.18
2012-04-14,172186929.79999998
2012-04-15,160817258.03
2012-04-16,181213648.67
2012-04-17,182250682.39000005
2012-04-18,180983189.67999998
2012-04-19,180894709.07999998
2012-04-20,181937512.88
2012-04-21,172749960.32
2012-04-22,162644901.72
2012-04-23,180372839.79000002
2012-04-24,182081367.57
2012-04-25,182515707.01000002
2012-04-26,182641714.10000002
2012-04-27,182457685.86
2012-04-28,172494891.86999997
2012-04-29,161050537.62
2012-04-30,177878573.86
2012-05-01,162257210.84999996
2012-05-02,181176096.67999998
2012-05-03,182429025.48000002
2012-05-04,181108020.78999996
2012-05-05,175990502.25000003
2012-05-06,164082190.71999997
2012-05-07,183271165.86
2012-05-08,185052904.79999998
2012-05-09,185097243.95
2012-05-10,185818072.92
2012-05-11,186436915.03999996
2012-05-12,178849428.61999995
2012-05-13,163854881.57000002
2012-05-14,183789909.59
2012-05-15,185815689.58
2012-05-16,186970421.76
2012-05-17,186700391.02000004
2012-05-18,186658294.25000003
2012-05-19,178885784.41
2012-05-20,163853664.26
2012-05-21,166940653.12
2012-05-22,185220256.14999998
2012-05-23,185611079.15000004
2012-05-24,186613702.19000003
2012-05-25,187063872.8
2012-05-26,179492388.6
2012-05-27,165025672.54
2012-05-28,185626067.0
2012-05-29,186390693.43000004
2012-05-30,185864999.08
2012-05-31,186339706.2
2012-06-01,190391597.23000002
2012-06-02,182825890.30999997
2012-06-03,168952971.35000002
2012-06-04,189952517.41000003
2012-06-05,190787464.35000005
2012-06-06,192752411.58
2012-06-07,192669452.47000003
2012-06-08,191265603.94
2012-06-09,184222137.89
2012-06-10,169756564.28
2012-06-11,171207781.22
2012-06-12,191340185.62000003
2012-06-13,196838687.86
2012-06-14,195580727.68999997
2012-06-15,196054834.94000003
2012-06-16,183161448.48999998
2012-06-17,165698108.94000003
2012-06-18,168414761.53999996
2012-06-19,189126252.80999997
2012-06-20,189656412.68
2012-06-21,189244358.27999997
2012-06-22,190735403.87
2012-06-23,182740976.17
2012-06-24,166807645.7
2012-06-25,187404505.94
2012-06-26,189448029.3
2012-06-27,189672200.84
2012-06-28,190432654.28000003
2012-06-29,188610911.22999996
2012-06-30,180210170.92999998
2012-07-01,164924771.83
2012-07-02,166877469.29000002
2012-07-03,188138571.2
2012-07-04,190159085.83000004
2012-07-05,189587461.20999995
2012-07-06,190149770.2
2012-07-07,182454724.08999994
2012-07-08,167646547.32
2012-07-09,188608199.77
2012-07-10,190887369.83999997
2012-07-11,189838380.24999997
2012-07-12,188928011.81000003
2012-07-13,188025561.61
2012-07-14,180233669.09
2012-07-15,165895912.92999998
2012-07-16,186313193.47
2012-07-17,189329616.41000003
2012-07-18,188741851.26
2012-07-19,190259499.68000004
2012-07-20,173104403.78000003
2012-07-21,180289524.39999998
2012-07-22,166335288.57
2012-07-23,187548946.39
2012-07-24,188818056.04
2012-07-25,190890835.48999992
2012-07-26,191494880.08999997
2012-07-27,195824869.85
2012-07-28,183211338.01
2012-07-29,170258669.57000002
2012-07-30,196493831.65999997
2012-07-31,190682902.19999996
2012-08-01,197334164.49
2012-08-02,196671487.88
2012-08-03,194549725.25
2012-08-04,191545468.70999998
2012-08-05,168295439.01
2012-08-06,194857637.41
2012-08-07,172213956.89000002
2012-08-08,197234592.31000003
2012-08-09,196957476.08
2012-08-10,200280941.14000002
2012-08-11,193020314.3
2012-08-12,176893074.42000002
2012-08-13,198616356.72
2012-08-14,199299369.72999993
2012-08-15,200195337.97999996
2012-08-16,200257783.98999998
2012-08-17,199023797.13000005
2012-08-18,190302355.02
2012-08-19,169707120.91
2012-08-20,171036198.17000002
2012-08-21,194640445.42000002
2012-08-22,195229118.71999994
2012-08-23,193224883.27
2012-08-24,193816263.22
2012-08-25,186421353.95999998
2012-08-26,173424879.75000003
2012-08-27,197918378.82999998
2012-08-28,198732396.94
2012-08-29,200959865.48000002
2012-08-30,200157903.42000002
2012-08-31,199700983.12
2012-09-01,191008489.16
2012-09-02,173220539.73999998
2012-09-03,193993516.99
2012-09-04,197322374.51
2012-09-05,198565964.46
2012-09-06,198147210.49
2012-09-07,200918100.97
2012-09-08,193830918.84999996
2012-09-09,181792411.10999998
2012-09-10,201721627.46
2012-09-11,201390373.69000003
2012-09-12,201936530.20999998
2012-09-13,201959501.06
2012-09-14,202421169.76000002
2012-09-15,195318714.87999997
2012-09-16,181685382.03
2012-09-17,200943182.03000003
2012-09-18,202394696.40999997
2012-09-19,202515329.87000003
2012-09-20,203643040.32
