fecha,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada
2015-06-02,326043.51851851854,78886.25,123526.43678160918,211683.1111111111
2015-06-03,330870.6790123457,78886.25,123003.44827586207,213602.55555555556
2015-06-04,329530.8641975309,78886.25,123693.10344827586,213332.97222222222
2015-06-05,328928.39506172837,78886.25,121414.36781609195,211960.47222222222
2015-06-06,333712.34567901236,78886.25,117638.50574712643,212288.25
2015-06-07,335628.0864197531,78886.25,121155.74712643678,214850.33333333334
2015-06-08,336652.77777777775,66509.0,123397.1264367816,213126.01092896174
2015-06-09,311238.0952380952,66509.0,123500.57471264368,203689.1666666667
2015-06-10,324811.7283950617,66509.0,120295.11494252874,206410.16393442624
2015-06-11,320134.01234567905,66509.0,122707.4712643678,205486.55737704918
2015-06-12,310835.8024691358,66509.0,108645.68965517242,194685.8469945355
2015-06-13,317317.28395061725,66509.0,104017.81609195402,195354.56284153007
2015-06-14,301860.4938271605,66509.0,102604.02298850575,187840.90163934426
2015-06-15,296733.950617284,66509.0,113247.7011494253,190631.88524590165
2015-06-16,316176.85185185185,66509.0,118319.54022988505,201648.96174863388
2015-06-17,336554.93827160494,66509.0,112027.8735632184,207677.65027322405
2015-06-18,317695.8024691358,66509.0,112621.26436781608,199612.26775956285
2015-06-19,325892.28395061725,66509.0,116379.88505747126,205027.1038251366
2015-06-20,312648.7037037037,66509.0,113171.55172413793,197639.9180327869
2015-06-21,325490.30864197534,66509.0,113236.20689655172,203354.64480874318
2015-06-22,330556.6666666667,66509.0,117172.98850574713,207468.7158469945
2015-06-23,334612.22222222225,66509.0,117104.02298850575,209231.01092896174
2015-06-24,341905.6172839506,66509.0,108678.73563218392,208453.77049180327
2015-06-25,340093.8888888889,66509.0,109356.89655172414,207974.26229508198
2015-06-26,338080.55555555556,66509.0,109718.96551724138,207255.24590163934
2015-06-27,350437.962962963,66509.0,111644.25287356322,213640.218579235
2015-06-28,332103.0864197531,66509.0,108730.45977011495,204139.53551912567
2015-06-29,335937.962962963,66509.0,111494.8275862069,207151.1475409836
2015-06-30,341735.8024691358,66509.0,110006.32183908045,209009.75409836066
2015-07-01,336025.9259259259,66509.0,109306.6091954023,206149.781420765
2015-07-02,326852.037037037,66509.0,113691.66666666667,204173.90710382516
2015-07-03,334861.2962962963,66509.0,116718.96551724138,209158.19672131148
2015-07-04,336966.9135802469,66509.0,113443.10344827586,208532.81420765026
2015-07-05,310258.5802469136,66509.0,111546.55172413793,195809.45355191256
2015-07-06,309554.8765432099,66509.0,110197.41379310345,194856.58469945355
2015-07-07,325591.9135802469,66509.0,116229.02298850575,204822.43169398909
2015-07-08,322066.5432098765,66509.0,117953.16091954023,204081.69398907103
2015-07-09,325945.3703703704,66509.0,113887.06896551725,203865.49180327868
2015-07-10,312053.39506172837,66509.0,114592.5287356322,198051.96721311475
2015-07-11,333033.2716049383,66509.0,105838.2183908046,203176.25683060108
2015-07-12,330874.1975308642,66509.0,113127.01149425287,205685.7650273224
2015-07-13,326692.0987654321,66509.0,116461.7816091954,205420.05464480876
2015-07-14,306184.3827160494,66509.0,121009.19540229885,198504.75409836066
2015-07-15,305370.43209876545,66509.0,120780.74712643678,198035.8743169399
2015-07-16,286061.2962962963,66509.0,124109.77011494254,191071.85792349727
2015-07-17,313038.8888888889,66509.0,128286.49425287357,204998.41530054645
2015-07-18,294670.6790123457,66509.0,132616.9540229885,198926.96721311475
2015-07-19,296687.16049382713,66509.0,117841.09195402298,192794.9180327869
2015-07-20,299499.012345679,66509.0,116589.6551724138,193444.56284153007
2015-07-21,316105.3703703704,66509.0,128348.27586206897,206385.0819672131
2015-07-22,313005.8641975309,66509.0,128065.22988505746,204878.60655737706
2015-07-23,323033.024691358,66509.0,128943.10344827586,209734.20765027322
2015-07-24,329568.8271604939,66509.0,128348.27586206897,212344.31693989073
2015-07-25,323975.4938271605,66509.0,125276.43678160918,208408.19672131148
2015-07-26,328256.23456790124,66509.0,123503.44827586207,209460.05464480876
2015-07-27,334246.1728395061,66509.0,126141.37931034483,213365.43715846993
2015-07-28,333262.5925925926,66509.0,127921.55172413793,213776.39344262294
2015-07-29,300070.0574712643,58257.5,130904.31034482758,200746.90104166666
2015-07-30,312373.4482758621,58257.5,129424.42528735632,205651.30208333334
2015-07-31,312122.0114942529,58257.5,136922.9885057471,208935.15625
2015-08-01,307063.6206896552,58257.5,137458.908045977,206885.91145833334
2015-08-02,305088.2183908046,58257.5,134632.75862068965,204710.20833333334
2015-08-03,311137.0689655172,58257.5,132345.40229885056,206414.63541666666
2015-08-04,296993.3908045977,58257.5,132552.2988505747,200099.53125
2015-08-05,291456.05555555556,58257.5,129615.5172413793,197724.2564102564
2015-08-06,308397.0689655172,58257.5,132276.4367816092,205141.82291666666
2015-08-07,310190.8620689655,58257.5,132379.88505747126,206001.51041666666
2015-08-08,310246.724137931,58257.5,127648.56321839082,203882.94270833334
2015-08-09,308360.5172413793,58257.5,129309.4827586207,203780.859375
2015-08-10,326590.6547619048,58257.5,127227.58620689655,209264.81481481483
2015-08-11,313452.9761904762,57424.166666666664,116537.93103448275,198425.84656084658
2015-08-12,312601.1904761905,57424.166666666664,119744.8275862069,199523.46560846563
2015-08-13,303027.6785714286,57424.166666666664,123588.2183908046,197037.75132275134
2015-08-14,300304.962406015,57424.166666666664,126744.8275862069,197280.69757727653
2015-08-15,285765.6766917293,57424.166666666664,127881.32183908047,191341.9409635199
2015-08-16,286427.224310777,57590.833333333336,124379.88505747126,190040.0626566416
2015-08-17,282375.13611615245,57590.833333333336,123291.84343434343,188202.75769844188
2015-08-18,297708.4694494858,57590.833333333336,123272.77777777778,195034.98380566802
2015-08-19,294200.8620689655,57590.833333333336,130042.22222222222,196594.41025641025
2015-08-20,286809.4827586207,57590.833333333336,126441.66666666667,192653.56770833334
2015-08-21,292758.275862069,57590.833333333336,130993.3908045977,197411.61458333334
2015-08-22,300743.3333333333,57590.833333333336,128835.3448275862,200051.97916666666
2015-08-23,295973.2183908046,57590.833333333336,131752.0114942529,199212.13541666666
2015-08-24,302629.8275862069,57590.833333333336,130813.61111111111,200711.05128205128
2015-08-25,295689.59770114947,57590.833333333336,133615.83333333334,198907.97435897437
2015-08-26,297525.8045977012,57590.833333333336,131654.72222222222,198822.07692307694
2015-08-27,301505.6321839081,57590.833333333336,131932.5,200725.89743589744
2015-08-28,295932.1111111111,57590.833333333336,132526.94444444444,199989.64646464644
2015-08-29,298474.55555555556,57590.833333333336,128018.61111111111,199096.0606060606
2015-08-30,303310.459770115,57590.833333333336,128018.61111111111,199724.71794871794
2015-08-31,294573.1666666667,57590.833333333336,132693.61111111112,199447.70202020204
2015-09-01,268785.94444444444,57590.833333333336,128090.83333333333,185634.06565656565
2015-09-02,268023.44444444444,57590.833333333336,129889.94252873564,186970.10256410256
2015-09-03,266039.72222222225,66709.0,128752.01149425287,188258.515625
2015-09-04,269227.7777777778,66709.0,125326.72413793103,188200.83333333334
2015-09-05,281587.5,66709.0,126464.6551724138,194510.078125
2015-09-06,290359.77011494257,66709.0,124260.63218390805,196151.37566137564
2015-09-07,292251.94444444444,66709.0,128415.80459770115,200393.15104166666
2015-09-08,288004.7222222222,66709.0,128120.0,197189.02564102563
2015-09-09,275326.94444444444,66709.0,130753.33333333333,192553.12820512822
2015-09-10,289149.2222222222,66709.0,131443.61111111112,199251.23076923078
2015-09-11,288035.2777777778,58757.5,125518.61111111111,193320.6313131313
2015-09-12,295069.3888888889,58757.5,118157.5,193171.99494949495
2015-09-13,310859.6551724138,58757.5,113524.16666666667,196510.76923076922
2015-09-14,301456.2777777778,58257.5,122324.16666666667,197923.61111111112
2015-09-15,265507.6666666667,58257.5,115764.44444444445,178601.64141414143
2015-09-16,271379.72222222225,58257.5,108707.5,178063.05555555553
2015-09-17,266110.72222222225,58257.5,117625.55555555555,179721.71717171717
2015-09-18,269023.6666666667,58257.5,112792.22222222222,178848.81313131313
2015-09-19,270816.8650793651,58257.5,112790.83333333333,179663.27200577199
2015-09-20,278199.25396825396,58257.5,107857.5,180776.4790764791
2015-09-21,273202.0317460318,58257.5,109304.72222222222,179162.8427128427
2015-09-22,266168.6984126984,58257.5,108233.88888888889,175479.1305916306
2015-09-23,277048.72222222225,58257.5,116345.0,184111.46464646465
2015-09-24,227090.51282051284,58257.5,121603.33333333333,163793.33916083915
2015-09-25,261412.73504273503,58257.5,121871.38888888889,179516.1926961927
2015-09-26,267169.6794871795,58257.5,112399.16666666667,177827.43006993007
2015-09-27,268708.5683760684,58257.5,116289.44444444445,180295.2331002331
2015-09-28,277680.89743589744,58257.5,120906.11111111111,186472.04933954932
2015-09-29,216619.72222222222,58257.5,120320.0,158450.55555555553
2015-09-30,220407.0,58257.5,119624.16666666667,159855.75757575757
2015-10-01,206904.7701149425,6355.238095238096,116195.0,144402.65151515152
2015-10-02,192305.28735632182,6396.9047619047615,118453.33333333333,139018.6616161616
2015-10-03,193966.66666666666,6396.9047619047615,122135.27777777778,141422.27272727274
2015-10-04,199537.24137931035,9182.619047619048,126004.72222222222,145924.24242424243
2015-10-05,209387.81609195404,53051.66666666667,129460.27777777778,156476.0101010101
2015-10-06,205196.72413793104,52938.57142857143,122463.05555555555,151441.91919191918
2015-10-07,202173.16091954024,52896.904761904756,123051.94444444445,150376.64141414143
2015-10-08,190787.18390804596,8861.190476190475,125638.05555555555,141878.76262626264
2015-10-09,220757.29885057473,8873.095238095239,120779.72222222222,152840.37878787878
2015-10-10,206765.65151515152,30925.0,119247.77777777778,149207.13251922207
2015-10-11,232596.94444444444,30925.0,117275.55555555555,159890.2985074627
2015-10-12,220488.6111111111,30925.0,126256.11111111111,158489.80099502485
2015-10-13,226902.5,30925.0,129175.55555555555,162668.9054726368
2015-10-14,229294.16666666666,30913.095238095237,128339.44444444445,163364.1791044776
2015-10-15,227202.8888888889,30978.571428571428,127186.66666666667,161918.45771144278
2015-10-16,271589.72222222225,30978.571428571428,119896.38888888889,178528.85572139305
2015-10-17,271246.05555555556,8776.190476190475,125022.77777777778,178350.72139303482
2015-10-18,263144.3333333333,8805.952380952382,108254.72222222222,167218.10945273633
2015-10-19,275191.55555555556,8895.238095238095,122722.77777777778,179099.9502487562
2015-10-20,255538.77777777778,9067.857142857143,114726.94444444445,166738.00995024876
2015-10-21,254295.64516129033,9133.333333333332,118282.5,169052.54901960786
2015-10-22,257086.12903225806,9151.190476190475,118458.88888888889,170404.33823529413
2015-10-23,235879.40860215054,9121.42857142857,119796.3888888889,161323.57843137256
2015-10-24,257053.8888888889,9008.333333333332,121851.94444444445,170600.4975124378
2015-10-25,245143.94444444444,8901.190476190475,125867.22222222222,167054.37810945275
2015-10-26,247917.55555555556,8817.857142857143,129049.16666666667,169712.3383084577
2015-10-27,250592.55555555556,8841.666666666668,128846.38888888889,170821.79104477612
2015-10-28,243015.3888888889,8954.761904761905,120817.22222222222,163845.69651741293
2015-10-29,230258.06451612903,8788.095238095239,126213.05555555555,161557.47549019608
2015-10-30,228882.63440860217,8805.952380952382,124436.66666666667,160148.57843137256
2015-10-31,226039.51612903227,8752.380952380952,114745.16129032258,153994.08212560386
2015-11-01,226562.5,9032.142857142857,116844.62365591398,154151.22549019608
2015-11-02,223477.77777777778,9050.0,116278.76344086022,152534.1911764706
2015-11-03,245363.8888888889,9097.619047619048,118558.33333333334,163233.94607843139
2015-11-04,252555.55555555556,9085.714285714286,113001.88172043012,163872.42647058822
2015-11-05,255384.54022988508,9091.666666666666,114700.80645161291,164559.9751243781
2015-11-06,242895.0,9121.42857142857,117503.2258064516,161666.17647058822
2015-11-07,252568.16666666666,9127.380952380952,121587.90322580645,167796.49509803922
2015-11-08,249317.22222222222,9097.619047619048,122181.98924731182,166630.02450980392
2015-11-09,268607.5,9050.0,120936.02150537634,174567.52450980392
2015-11-10,265301.94444444444,9073.809523809523,116116.12903225806,170914.33823529413
