fecha,vertimientos
2012-10-11,1389944.64
2012-10-12,2512762.09555
2012-10-13,2569129.92
2012-10-14,2759689.92
2012-10-15,2479985.77555
2012-10-16,774131.03222
2012-10-17,176420.62444
2012-10-18,108619.2
2012-10-20,8765.76
2012-10-23,260686.08
2012-10-24,2364468.48
2012-10-25,3493307.54333
2012-10-26,3024301.44777
2012-10-27,3095075.52
2012-10-28,3002082.24
2012-10-29,3286016.64
2012-10-30,3155292.48
2012-10-31,2307681.6
2012-11-01,2436004.79222
2012-11-02,1844392.30444
2012-11-03,1913603.52
2012-11-04,2773791.36
2012-11-05,1857655.19222
2012-11-06,1944474.24
2012-11-07,3052008.96
2012-11-08,3558898.56
2012-11-09,2383143.36
2012-11-10,1628220.95222
2012-11-11,1386628.80777
2012-11-12,1300381.44
2012-11-13,1120492.8
2012-11-14,1995163.2
2012-11-15,3775527.34444
2012-11-16,6547831.71888
2012-11-17,4993815.36
2012-11-18,2719291.2
2012-11-19,1709399.51222
2012-11-20,1371650.88
2012-11-21,1302858.72
2012-11-22,1938757.44
2012-11-23,1507710.72
2012-11-24,494236.32777
2012-11-25,218762.88
2012-11-26,35367.84777
2012-12-01,207672.46444
2012-12-02,1134708.48777
2012-12-03,989006.4
2012-12-04,172647.36
2012-12-07,5373.61555
2012-12-08,288548.42222
2012-12-09,783201.6
2012-12-10,373116.48
2012-12-21,27440.64
2012-12-22,3070683.84
2012-12-23,2498622.72
2012-12-24,492788.16
2013-01-02,139108.8
2013-01-03,107856.96
2013-02-15,13410.72055
2013-03-18,49360.32111
2013-03-19,946632.96
2013-03-20,510505.632
2013-03-21,72875.712
2013-03-22,388044.384
2013-03-23,373769.76
2013-03-24,711965.56744
2013-03-25,610803.648
2013-03-26,93085.48744
2013-03-27,23027.13544
2013-03-28,361335.98511
2013-03-29,1263679.872
2013-03-30,725000.64
2013-03-31,52215.072
2013-04-01,56722.848
2013-04-02,26144.92688
2013-05-22,684768.91311
2013-05-23,3282785.00044
2013-05-24,1141722.54155
2013-05-29,694568.875
2013-06-01,468431.92861
2013-06-18,13944571.2
2013-06-19,14903721.6
2013-06-26,34935.264
2013-06-27,398262.09655
2013-06-28,1629561.024
2013-06-29,1285091.808
2013-06-30,1324534.848
2013-07-01,244959.88688
2013-07-02,622824.384
2013-07-03,1257669.504
2013-07-04,307329.144
2013-07-06,737632.584
2013-07-07,2039856.588
2013-07-08,2085136.632
2013-07-09,1816838.28
2013-07-10,490753.008
2013-07-15,1878.84
2013-07-16,8642.664
2013-07-18,465957.78055
2013-07-19,3857192.46
