fecha,aportes_energia
2012-09-22,136321000.0
2012-09-23,97782700.0
2012-09-24,90092200.0
2012-09-25,94250900.0
2012-09-26,79096500.0
2012-09-27,87595100.0
2012-09-28,75189800.0
2012-09-29,85749100.0
2012-09-30,94726200.0
2012-10-01,90150600.0
2012-10-02,115976500.0
2012-10-03,85608100.0
2012-10-04,124853400.0
2012-10-05,128563800.0
2012-10-06,142871700.0
2012-10-07,158978800.0
2012-10-08,115410700.0
2012-10-09,93993900.0
2012-10-10,97783600.0
2012-10-11,81495300.0
2012-10-12,105146600.0
2012-10-13,154980600.0
2012-10-14,137712800.0
2012-10-15,159414300.0
2012-10-16,173724500.0
2012-10-17,148186400.0
2012-10-18,232560200.0
2012-10-19,199561100.0
2012-10-20,232783700.0
2012-10-21,220926500.0
2012-10-22,211700200.0
2012-10-23,146427200.0
2012-10-24,165870400.0
2012-10-25,221560200.0
2012-10-26,138948000.0
2012-10-27,125526600.0
2012-10-28,104965100.0
2012-10-29,118771600.0
2012-10-30,158182700.0
2012-10-31,154843800.0
2012-11-01,182468900.0
2012-11-02,113942800.0
2012-11-03,128560600.0
2012-11-04,113254600.0
2012-11-05,144757200.0
2012-11-06,113118100.0
2012-11-07,107466700.0
2012-11-08,104596000.0
2012-11-09,99604100.0
2012-11-10,128496800.0
2012-11-11,98693600.0
2012-11-12,92829400.0
2012-11-13,99214900.0
2012-11-14,146558900.0
2012-11-15,164324300.0
2012-11-16,240626600.0
2012-11-17,224264600.0
2012-11-18,242931600.0
2012-11-19,156116500.0
2012-11-20,118792300.0
2012-11-21,116542100.0
2012-11-22,130975000.0
2012-11-23,110299800.0
2012-11-24,100149100.0
2012-11-25,91942500.0
2012-11-26,113799300.0
2012-11-27,114275600.0
2012-11-28,92861600.0
2012-11-29,101829300.0
2012-11-30,124544400.0
2012-12-01,127672600.0
2012-12-02,116565100.0
2012-12-03,122686400.0
2012-12-04,109250000.0
2012-12-05,118117600.0
2012-12-06,116034700.0
2012-12-07,98351700.0
