fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2010-10-29,129164291.36,3343794.62,34635431.82,167143517.8
2010-10-30,118325472.99,4835946.25,35452318.15,158613737.39000002
2010-10-31,100684374.62,3692838.18,36136402.36,140513615.16
2010-11-01,97197303.12,3577685.35,42040057.349999994,142815045.82
2010-11-02,114582471.5,4234651.26,42833666.63,161650789.39000002
2010-11-03,116634111.25,4288401.85,41425598.93,162348112.03
2010-11-04,124549632.61,4561464.34,36005597.18,165116694.13
2010-11-05,123789331.58,5213664.5,38669460.05,167672456.13
2010-11-06,115537084.71000001,3925412.21,37261934.379999995,156724431.3
2010-11-07,107496904.49,4121427.08,28492162.470000003,140110494.04
2010-11-08,122003105.96,4908272.98,35855967.339999996,162767346.28
2010-11-09,123356659.65,5432597.6,36949683.01,165738940.26
2010-11-10,137013482.29,3719977.06,25826456.62,166559915.97
2010-11-11,131224564.21000001,3614835.12,32122678.419999998,166962077.75
2010-11-12,136668634.85,4318015.91,25630783.279999997,166617434.04
2010-11-13,129898243.25,4126773.93,23744929.23,157769946.41
2010-11-14,116094647.03999999,3266379.63,21284840.74,140645867.41
2010-11-15,119926401.6,2957053.52,20848584.759999998,143732039.88
2010-11-16,138873214.1,3043051.21,23362837.03,165279102.34
2010-11-17,141506973.86,3055931.14,21925448.15,166488353.15
2010-11-18,143055499.89000002,2505219.81,21429700.93,166990420.63
2010-11-19,140528520.63,2482545.65,22921969.659999996,165933035.94
2010-11-20,130930196.21000001,4653113.43,22014753.61,157598063.25
2010-11-21,117446005.0,4081091.0,21710089.28,143237185.28
2010-11-22,136452809.05,3383966.52,25047475.58,164884251.15
2010-11-23,138200212.11,3082974.44,26853117.11,168136303.66
2010-11-24,139449848.47,3001056.2,26485692.75,168936597.42
2010-11-25,139174386.24,3620598.1,25289741.83,168084726.17
2010-11-26,138356480.5,5699470.49,25943985.240000002,169999936.23
2010-11-27,129162129.64,4778720.86,28068257.73,162009108.23
2010-11-28,116298424.24000001,3867887.81,22170190.93,142336502.98
2010-11-29,129717725.75999999,3536570.66,33336245.22,166590541.64
2010-11-30,135194970.54,3460454.48,30371605.14,169027030.16
2010-12-01,138734486.61,2987420.52,27493014.1,169214921.23
2010-12-02,137484927.47,3392461.44,27011840.78,167889229.69
2010-12-03,133602741.2,3150526.74,29480009.529999997,166233277.47
2010-12-04,123041416.12,4453235.43,30768210.77,158262862.32
2010-12-05,105116774.23,3876601.93,33430691.159999996,142424067.32
2010-12-06,126567158.45,3771237.73,35721153.93,166059550.11
2010-12-07,130360387.42,3388737.88,34639473.53,168388598.83
2010-12-08,112023978.75,3630644.05,33922281.25,149576904.05
2010-12-09,126570826.08,5775661.35,34973462.24,167319949.67
2010-12-10,128264379.84,5647596.1899999995,35218103.76,169130079.79
2010-12-11,122845205.36,3912500.57,35846328.22,162604034.15
2010-12-12,111414156.96000001,3115228.06,32065055.410000004,146594440.43
2010-12-13,136457710.22,2952941.07,27541435.44,166952086.73000002
2010-12-14,135672421.78,3014868.05,24806800.479999997,163494090.31
2010-12-15,135510182.81,3354942.07,28583923.5,167449048.38
2010-12-16,134728185.17,3512772.73,28149937.32,166390895.22
2010-12-17,137253118.79,3183682.06,27932638.200000003,168369439.05
2010-12-18,125966397.99000001,3254900.11,30769127.94,159990426.04
2010-12-19,119038318.18,3840186.17,22440374.55,145318878.9
2010-12-20,139040357.35,3680036.41,22193908.72,164914302.48
2010-12-21,137520181.74,3357008.76,24206718.81,165083909.31
2010-12-22,138203421.52,3174634.46,23218166.45,164596222.43
2010-12-23,137640619.95,3085408.97,22230994.18,162957023.1
2010-12-24,122371242.32000001,3144991.29,21363380.009999998,146879613.62
2010-12-25,101622745.84,3033932.52,21247349.28,125904027.64
2010-12-26,105361804.32,3006968.1799999997,21908415.11,130277187.61
2010-12-27,129171255.44,3044542.63,24294588.75,156510386.82
2010-12-28,127439098.77,3293219.61,23936752.29,154669070.67000002
2010-12-29,126936337.1,3076225.29,25849015.64,155861578.03
2010-12-30,125581711.2,2796785.0900000003,26999000.57,155377496.86
2010-12-31,110749011.97,2694797.04,27018429.18,140462238.19
2011-01-01,92706698.36,2446870.41,23250982.83,118404551.6
2011-01-02,95352469.66,2561193.83,23992513.12,121906176.61
2011-01-03,118108452.3,2826630.32,25570171.43,146505254.05
2011-01-04,122663104.41,3104087.44,23855526.37,149622718.22
2011-01-05,124526143.06,3497900.47,23284228.35,151308271.88
2011-01-06,127012703.06,3113511.18,24102104.71,154228318.95
2011-01-07,127766501.2,3217292.34,23734634.0,154718427.54
2011-01-08,126151286.54,3377792.22,22577593.34,152106672.1
2011-01-09,108308877.45,3379504.84,22985154.67,134673536.96
2011-01-10,111012749.08,3445570.88,25272397.3,139730717.26
2011-01-11,128533069.91,3901113.1100000003,28108860.06,160543043.08
2011-01-12,132344620.35,3411233.5300000003,30358838.95,166114692.83
2011-01-13,134794133.67,3420702.15,27969328.2,166184164.02
2011-01-14,132432376.5,3684799.61,30733653.9,166850830.01
2011-01-15,128330396.64,3372293.08,29064015.77,160766705.49
2011-01-16,125645372.78,3328761.88,16286332.059999999,145260466.72
2011-01-17,140482127.6,3316097.28,20875538.51,164673763.39
2011-01-18,132677538.66,3431725.05,32870556.09,168979819.8
2011-01-19,134932583.93,3612816.69,31625256.470000003,170170657.09
2011-01-20,135784112.1,3251235.7800000003,29229546.14,168264894.02
2011-01-21,136769381.53,2846023.4899999998,29859539.56,169474944.58
2011-01-22,125885746.57000001,3169412.12,31895567.71,160950726.4
2011-01-23,118418218.73,3219893.46,23986909.54,145625021.73
2011-01-24,129500982.69,3333921.91,33187970.51,166022875.11
2011-01-25,130712035.82,3597296.86,35653434.98,169962767.66
2011-01-26,120678131.7,3689730.56,43724352.94,168092215.2
2011-01-27,122005096.27,3661365.3600000003,42924068.71,168590530.34
2011-01-28,123453107.17,3640270.43,39658624.78,166752002.38
2011-01-29,116273365.65,3445239.26,38683112.5,158401717.41
