MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
EmisionesCO2,Emisiones de CO2 por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonCO2,Emisiones totales de Dióxido de Carbono – CO2 de las plantas de generación registradas ante el CND. Incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po
EmisionesN2O,Emisiones de N2O por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonN2O,"Emisiones totales de Dióxido de Carbono – N2O de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po"
ENFICC,Energía en Firme Cargo por Confiabilidad - ENFICC por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,kWh,"Energía Firme para el Cargo por Confiabilidad : Es la máxima energía eléctrica que es capaz de entregar una planta de generación continuamente, en condiciones de baja hidrología, en un período de un a"
ENFICC,Energía en Firme Cargo por Confiabilidad - ENFICC por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No Aplica,kWh,"Energía Firme para el Cargo por Confiabilidad : Es la máxima energía eléctrica que es capaz de entregar una planta de generación continuamente, en condiciones de baja hidrología, en un período de un a"
ExpoEner,Exportaciones Energía,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde Colombia hacia otros paises
ExpoEner,Exportaciones Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde Colombia hacia otros paises
ExpoMoneda,Exportaciones Moneda,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde Colombia hacia otros paises
ExportMonedaUSD,Exportaciones Moneda USD por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde Colombia hacia otros paises
ExpoMoneda,Exportaciones Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde Colombia hacia otros paises
FAER,FAER Moneda por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,COP,Fondo de Apoyo Financiero para la Energización de las Zonas Rurales Interconectadas -FAER-
FAZNI,FAZNI Moneda por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP,"Valor recaudado por concepto del Fondo de apoyo a zonas no interconectadas. Hace parte de los fondos para atender zonas especiales deprimidas y zonas no interconectadas, con recursos del mismo sector"
PrecFAZNI,FAZNI Precio por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,COP/kWh,FAZNI - Fondo de apoyo a zonas no interconectadas
GeneFueraMerito,Generación Fuera de Mérito por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Generación forzada requerida para suplir las Restricciones del SIN, cuyo precio de oferta es superior al precio de bolsa."
GeneIdea,Generación Ideal por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
GeneIdea,Generación Ideal por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
GeneProgRedesp,Generación Programada Redespacho por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Generación programada del redespacho
